Question,Question Type,Answer Option 1,Explanation 1,Answer Option 2,Explanation 2,Answer Option 3,Explanation 3,Answer Option 4,Explanation 4,Answer Option 5,Explanation 5,Answer Option 6,Explanation 6,Correct Answers,Overall Explanation,Domain
"Upon delivery of the final product to the customer, the customer has rejected the product because it failed to pass all of the functional requirements defined in the scope. What should the project manager have done to avoid this?",multiple-choice,Reviewed the requirements documentation,,Defined the quality metrics,,Developed the work breakdown structure (WBS),,Evaluated the test management plan,,,,,,2,Quality metrics are a description of a project or product attribute and how to measure it.,
"During a project's development stage, a functional manager is transferred to another department and is no longer involved with the project. What should the project manager do first?",multiple-choice,Update the stakeholder register.,,Assess the impact on risks.,,Revise the communications management plan.,,Review the project team assignments.,,,,,,1,"The stakeholder register contains details about the identified stakeholders to help understand the knowledge they may have. Until you understand what skill or knowledge you are losing, you can't begin to resolve the gap.",
"A project manager receives a chain of emails from the project team and vendor arguing about a recently received deliverable. The project team believes that the deliverable fails to meet a specific requirement, but the vendor maintains that they are unaware of this requirement. To what should the project manager first refer?",multiple-choice,Communications management plan,,Work breakdown structure (WBS),,Requirements management plan,,Statement of work (SOW),,,,,,4,"The SOW describes the procurement item in sufficient detail to allow prospective sellers to determine if they are capable of providing the products, services, or results. Sufficient detail can vary based on the nature of the item, the needs of the buyer, or the expected contract form. Information included in a SOW can include specifications, quantity desired, quality levels, performance data, period of performance, work location, and other requirements.",
"A geographically dispersed team must implement an enterprise-wide system with an aggressive schedule. Some team members have web cameras and others have internet connectivity issues. In order to manage the team's varied media options, what plan should the project manager reference?",multiple-choice,Risk management,,Resource management,,Communications management,,Stakeholder engagement,,,,,,3,"The communications management plan establishes how, when, and by whom information about the project will be administered and disseminated.",
"A project sponsor is risk averse and is therefore concerned about negative impacts on the project. To help with this concern, the project team identifies four project risks and then evaluates both the probability of occurrence and the impact of the risk if it occurs. The team uses a 1-5 scale, 1 being the lowest and 5 being the highest.

Risk A: Probability 2, Impact 5
Risk B: Probability 4, Impact 3
Risk C: Probability 3, Impact 2
Risk D: Probability 2, Impact 4",multiple-choice,"B,C,A,D",,"B,A,D,C",,"C,D,A,B",,"D,A,C,B",,,,,,2,"Calculating risk score as Probability times Impact gives: Risk B = 12, Risk A = 10, Risk D = 8, Risk C = 6. Ordering from highest to lowest risk exposure yields B, A, D, C.",
A project team discovers that there are many detailed capabilities that differ from the scope outlined in the project charter. What should the project manager use to manage this?,multiple-choice,Expert judgment,,Scope baseline,,Project charter,,Requirements traceability matrix,,,,,,4,The requirements traceability matrix links product requirements to the deliverables that satisfy them and helps to focus on the final outcomes.,
Some previously unidentified stakeholders report that they have not been kept informed regarding the status of a critical project even though their functional areas are largely impacted. What should the project manager do first?,multiple-choice,Identify new strategies to communicate project status.,,Review the project's communication methods.,,Invite all stakeholders to the status meetings.,,Examine and update the stakeholder register.,,,,,,4,"As stakeholder identification continues throughout the project, new stakeholders, or new information about stakeholders, may result in a change request to the product, project management plan, or project documents. This register needs to be constantly examined and updated.",
"High failure rates are found in the production line during product manufacture. The project deadline is tight, and the cost of pending production is high. The engineers have determined the root causes of the problem and the project team has identified the best solution. However, this solution will require an increase in the budget. What should the project manager do?",multiple-choice,Submit a change request to the change control board (CCB).,,Implement the proposed solution.,,Update the scope baseline.,,Obtain additional funding from the project sponsor.,,,,,,1,"A change control board (CCB)is a formally chartered group responsible for reviewing, evaluating, approving, deferring, or rejecting changes to the project and for recording and communicating such decisions.",
"A project has ended; however the project manager and project team members are still called to solve technical issues, make some small changes, and evaluate new requirements. What should the project manager do to guarantee the product or service developed by the project now has operational support?",multiple-choice,Disband the project team and find a new project.,,Perform a project handoff.,,Fulfill all remaining needs as the product is still under development.,,Obtain project acceptance.,,,,,,2,Project closure and hand-off will ensure knowledge transfer to production and/or operations.,
"At the end of an iteration, a team member tells the project manager that a planned task is unfinished because of an issue that appeared days ago but was unable to be resolved. What should the project manager do to prevent this type of situation in the future?",multiple-choice,Discuss the issue during the retrospective.,,Review the issue in the next daily standup meeting.,,Address the issue in the demo.,,Discuss the issue during the next iteration planning meeting.,,,,,,1,The retrospective allows issues with the execution approach to be identified and discussed in a timely fashion along with ideas for improvements. Retrospectives are a primary tool to manage project knowledge and develop the team through discussions of what is working well and team-based problem solving.,
"A kick-off meeting with stakeholders is held to discuss the draft of the project plan. During the meeting, two stakeholders disagree about the project's objective. What should the project manager have done to prevent this?",multiple-choice,Clearly communicated the kick-off meeting's objective and explained that it was only for informational purposes,,Delayed the discussion but agreed to later address the issue,,Defined a more comprehensive risk management plan to control the impact of different stakeholders with different objectives,,Identified and analyzed the level of influence and interest of each stakeholder and addressed their concerns,,,,,,4,"Stakeholder analysis identifies relevant information such as their positions in the organization, roles on the project, their stake on the project, expectations, attitudes (their levels of support for the project), and their interest in information about the project.",
"For a long-term infrastructure project, the project manager must acquire suppliers with the lowest possible risk due to the global business climate. What type of contract should the project manager use?",multiple-choice,Fixed price incentive fee (FPIF),,Cost plus fixed fee (CPFF),,Firm fixed price (FFP),,Fixed price with economic price adjustment (FP-EPA),,,,,,4,"The FP-EPA contract type is used whenever the seller's performance period spans a considerable period of years, or if the payments are made in a different currency. It is a fixed-price contract, but with a special provision allowing for predefined final adjustments to the contract price due to changed conditions, such as inflation changes or cost increases (or decreases) for specific commodities.",
"A new recently released technology can speed up the development tasks on an ongoing project by 30 percent. The team is eager to use this new technology, but identifies the risk that issues may arise due to a lack of knowledge and support. How can the project manager and the team decide if the project benefits by using this technology?",multiple-choice,Perform quantitative risk analysis and reject the technology if the risk ranks in the top 10.,,Review the risk management plan to determine if the new technology is an unnecessary risk.,,Use the expected monetary value (EMV) technique and use the technology if the EMV is positive.,,Perform a sensitivity analysis to determine the potential impact on project outcome.,,,,,,3,"The decision tree is evaluated by calculating the expected monetary value (EMV) of each branch, allowing the optimal path to be selected.",
"One week prior to a kick-off meeting, a project manager meets with a key project resource to understand the complexity of the project deliverables. The resource is apprehensive about the deliverables and expresses concerns. What should the project manager do to ensure that the deliverables are realistic?",multiple-choice,"Speak to the sponsor about the resource's concerns, and revise the project charter.",,"Conduct a feasibility study, and then evaluate the results.",,Conduct a risk assessment to identify threats and preventive actions.,,Document the concerns in the issue log for later review.,,,,,,2,"To ensure that the deliverable are realistic, the project manager needs to conduct a feasibility study and then evaluate the results. none of the other choices will ensure this.",
"A project manager has obtained final acceptance of the deliverables, completed the assessment, released project resources, and closed out all procurement-related activities. What should the project manager do next?",multiple-choice,Update the project management information system (PMIS).,,Amend the project schedule.,,Review the issue log.,,Manage quality reviews.,,,,,,1,A project management information system (PMS) is the coherent organization of the information required for an organization to execute projects successfully.This should be updated with project progress right through to project completion.,
"A project's workload is high and resources are overloaded. When management decides to outsource some services to keep the project on schedule, what document should the project manager revise?",multiple-choice,Communications management plan,,Project organization chart,,Resource management plan,,Procurement management plan,,,,,,4,"The Procurement Management Plan is where the process of documenting project procurement decisions, specifying the approach and identifying potential sellers is captured. The key benefit of this process is that it determines whether to acquire goods and services from outside the project and, if so, what to acquire as well as how and when to acquire it.",
A customer identifies performance issues on a newly implemented product. What category of cost of quality (COQ) should the project manager have used to estimate this cost?,multiple-choice,Internal failure costs,,Prevention costs,,Appraisal costs,,External failure costs,,,,,,4,External Failure Costs are those failures found by the customer.,
A project issue is identified after implementation in the production environment. What tool or technique should the project manager use to identify the reason for the issue?,multiple-choice,Control chart,,Histogram,,Ishikawa diagram,,Pareto diagram,,,,,,3,"An Ishikawa diagram breaks down the causes of the problem statement identified into discrete branches, helping to identify the main or root cause of the problem.",
The quality management plan states that project deliverables must be reviewed at least one week before the deadline. Three deliverables have missed this quality requirement. What should the project manager do?,multiple-choice,Create and analyze a cause-and-effect diagram.,,Revise the quality management plan.,,Request an internal audit of the project.,,Seek advice from the project sponsor.,,,,,,1,By understanding the root cause of this issue will help the project manager avoid this type of problem later on in this project and on others.,
"During acceptance testing of a deliverable, a senior stakeholder complains that a functionality essential to their department was not addressed. What should the project manager do to avoid this in the future?",multiple-choice,Manage stakeholder expectations.,,Approve a scope management plan.,,Conduct a product demo with stakeholders.,,Prepare a change management plan.,,,,,,2,"A scope management plan documents how the project and product scope will be defined, validated, and controlled.",
"A junior project manager joins a new and complex project. During planning, the project manager discovers a number of variables with unknown effects on the project. What should the project manager do to manage these variables?",multiple-choice,Implement a detailed risk management plan that includes all options.,,"Ensure that the project plan is detailed, and includes resource management and budgetary overviews.",,Review the unknown effects on the project with a senior project manager.,,Set up an issue log that includes roles and responsibilities.,,,,,,1,"The risk management plan provides guidance on how and when risks should be reviewed, which policies and procedures should be followed, the roles and responsibilities in the monitoring process, and reporting formats.",
"A highway construction project is on schedule and within budget. The project manager has just learned that an unforeseen mineral reserve has been discovered on the site. This will require that the highway is diverted, which will displace neighborhoods. What project management tools or skills will the project manager need to handle this?",multiple-choice,Good personal relations with the local authorities,,Understanding of industry practices,,Conflict management and change management,,Scope creep management,,,,,,3,This new development will undoubtedly result in conflict and require a change to the project plan.,
"A project manager is informally told that a possible union action will involve their project team. At this stage of the project, any delays will significantly impact the schedule and budget. The probability of this union action was assumed to be minimal and was, therefore, unanticipated. What should the project manager do?",multiple-choice,"Update the risk register with the new risk, and notify relevant stakeholders.",,Meet with the chairman of the union to try to resolve the conflict.,,"Obtain more information on the probability of this union action, and then act based on any factual information received.",,"Notify the project team of possible disciplinary actions should they choose to take part in this, and offer a reward for those who do not.",,,,,,1,"The project manager needs to proactively approach this. By updating the risk register and by communicating this development to the appropriate stakeholders, they will be achieving this.",
"A functional manager, who is also a project stakeholder, has time constraints and delegates project responsibilities to someone else on the functional team. The project manager notices that this new stakeholder is not attending meetings. What should the project manager do to engage this new stakeholder?",multiple-choice,Ask the new stakeholder to pair with a more experienced stakeholder to learn responsibilities.,,Show the new stakeholder the project schedule and their assigned tasks.,,Review the project charter with the new stakeholder and assess their level of engagement.,,Ask the functional manager to brief this new stakeholder and request that they send them to all relevant meetings.,,,,,,2,"The first version of the stakeholder engagement plan is developed after the initial stakeholder community has been identified by the Identify Stakeholder process. The stakeholder engagement plan is updated regularly to reflect changes to the stakeholder community. To engage this new stakeholder, the PM should show the schedule and assigned tasks to the new stakeholder immediately.",
"A project team successfully achieved a key milestone. To do this, the team met critical technical requirements on a new process, and then used the process to develop the first of several similar deliverables. What should the project manager do next?",multiple-choice,Ensure final costs are recorded.,,Conduct performance appraisals.,,Document lessons learned.,,Transition the project to the operations team.,,,,,,3,This new technology has resulted in improved performance. This needs to be documented in lessons learned so that future projects can benefit from this.,
A sponsor recruits a project manager to implement a project. The project was initiated based on assumptions and feedback from the sponsor's colleagues. What should the project manager do first?,multiple-choice,Document the input from the sponsor's colleagues.,,Collaborate with stakeholders to understand the project objectives.,,Validate the project deliverables.,,Define the project tasks and activities,,,,,,2,The first thing a new project manager needs to do is to understand the objectives of the project.,
"There are three main tasks in a new product development project. Task A must be delivered two weeks before task C starts, and task C will start once task B is finished. What is the relationship between tasks A and B?",multiple-choice,Start-to-finish (SF),,Finish-to-finish (FF),,Finish-to-start (FS),,Start-to-start(SS),,,,,,2,"While there is no DIRECT relationship between A and B, both must be completed before C can start, so, of the choices, the only response that makes sense is FF",
"During the project to build a software App that involves a new technology, a key stakeholder complains that not enough time is being spent in preparing a detailed project plan on this high-uncertainty project and insists no work should begin before the project plan is complete. What should the project manager do?",multiple-choice,Since the project involves high-uncertainties a thorough risk identification exercise should be done by the project manager before any work can begin,,The project manager should spend more time in planning as requested by the stakeholder,,Inform the sponsors that work can't begin till a detailed plan is ready,,Explain to the stakeholder that Agile projects deliberately spend less time in early planning and more time defining processes for discovery and experimentation,,,,,,4,"In project with high-uncertainties, the scope is not well understood in the beginning, hence the teams should spend less time defining scope in early stages of the project and spend more time establishing processes for ongoing discovery and refinement",
"During the execution of a large agile project, the project manager is worried that proper planning of the next upcoming sprints is not fully complete leading to uncertainties in how the various components of the product will integrate together. What should the project manager do?",multiple-choice,Schedule a planning session with all team members,,Raise this as a risk since it leads to uncertain schedule,,Let the project team do the planning for the next sprints,,Let the project team determine how the components of the product integrate with each other,,,,,,4,Iterative and agile approaches promote the engagement of team members as local domain experts who are free to determine how components integrate.,
"After the first iteration to build a software application, the project team realizes that the features delivered in this prototype of the final product are different from the requirements stated during the initial requirements gathering phase. What should the project manager do?",multiple-choice,"Since the delivered features are not according to the stated requirements, initiate a root-cause analysis and implement preventive actions",,Initiate a change request to update the scope statement,,Agree to the fact that requirements change in an agile project and check if the delivered features are as per the customer's needs,,Cancel the current delivered features and initiate another iteration that contains the initially stated requirements,,,,,,3,Environments with emerging requirements often find a gap between stated business requirements and real needs of the project. Agile projects purposefully build and release prototypes that test the business hypothesis that maybe different from stated needs,
On an agile project the project manager observes that one of the business stakeholder who was supposed to provide feedback isn't providing quickly anymore. This has resulted in the reduction in team's velocity to deliver on the prioritized user stories is reducing from one sprint to the next. What should the project manager do?,multiple-choice,Meet with the business stakeholder immediately to find out what can be done to expedite the needed feedback.,,Remind the team that agile developers are empowered to resolve their own issues.,,Update the project management plan to reflect this unexpected delay.,,Meet with the team members to help them develop a plan for resolving this issue.,,,,,,1,Servant leaders support agile teams by resolving issues and impediments so the team can focus on delivering value. These types of impediments often involve stakeholders outside the project development team.,
An agile project is intending to use a very new unproven technology. The project team plans to develop the product incrementally due to the significant risks and uncertainties about the requirements of the product. The project manager wants inputs early in the project from all key stakeholders during product scoping. What is the first thing the project manager should do?,multiple-choice,Determine the technology needed to build the product and contact leading technology partners/ vendors.,,Get buy in from all stakeholders on the expected business value of the product.,,Get resources committed from each group to help develop the product increments.,,Get detailed estimates from all development teams for the cost of building the product.,,,,,,2,"Even when product requirements are unclear and will be delivered incrementally, the overall vision and purpose (business value) should be understood and agreed to by the stakeholders. Once the business value is understood the project manager can complete other planning activities such as getting committed resources and identifying materials needed. Getting detailed estimates would not be done in an agile approach.",
"At the end of the first iteration In an agile project with multiple iterations, the customer demands a key additional feature be included in the scope of the project. How should the project manager respond to this request?",multiple-choice,"Since this is a new request, perform an integrated change control",,Add the new scope to the product backlog and plan to implement in the next sprint,,Deny the request from the customer since the project has already begun,,Start work on the new feature in the next iteration,,,,,,2,"Scope is continuously defined and refined through the agile project. The team plans around the updates to the product backlog, prioritizes them, sizes them and starts work based on the value delivered by the items in the backlog.",
"In a project involving multiple iterations during the development lifecycle, the team identifies a major quality issue in the product at the end of the last iteration. What could the project manager have done better to avoid this issue?",multiple-choice,Do a more thorough risk assessment in the beginning of the project,,Put in place a qualified team to identify quality issues,,Build in quality reviews in each iteration of the product,,Referred to the lessons learned documents from previously done similar projects,,,,,,3,Agile methods have frequent quality and review steps built in throughout the project rather than toward the end of the project.,
A project manager is concerned that team members on an agile project are spending too much waiting to be told by the project manager what to do next. What should the project manager tell them?,multiple-choice,Tell the team to reach out proactively before the start of the sprint so that team members are aware what to work on,,Inform the sponsor that the team members do not have requisite skills to work on agile projects,,Tell the team members that agile teams organize work among themselves and do not need to be told what to work on,,Reach out to every team member individually to assign work,,,,,,3,Agile teams organized themselves and collaborate among themselves to decide what work to do. This is because collaborative teams facilitate accelerated integration of distinct work activities on agile projects. The PM doesn't need to tell the team what work to do next.,
"In a project involving multiple iterations during the development lifecycle, the team identifies a major quality issue in the product at the end of the last iteration. What could the project manager have done better to avoid this issue?",multiple-choice,Do a more thorough risk assessment in the beginning of the project,,Put in place a qualified team to identify quality issues,,Build in quality reviews in each iteration of the product,,Referred to the lessons learned documents from previously done similar projects,,,,,,3,"In iterative/agile projects, quality should be built in continuously. By having quality reviews in each iteration (rather than waiting for the end of the development lifecycle), the team can catch and resolve issues early, preventing major quality problems at the very end.",
A project manager is concerned that team members on an agile project are spending too much waiting to be told by the project manager what to do next. What should the project manager tell them?,multiple-choice,Tell the team to reach out proactively before the start of the sprint so that team members are aware what to work on,,Inform the sponsor that the team members do not have requisite skills to work on agile projects,,Tell the team members that agile teams organize work among themselves and do not need to be told what to work on,,Reach out to every team member individually to assign work,,,,,,3,"Agile teams are meant to be self-organizing and self-managing. The project manager (or Scrum Master) should coach the team on agile principles, specifically that they are responsible for organizing their own work rather than waiting for tasks to be assigned to them.",
"Without considering all the implications, a project sponsor requires that the project team on an agile project to be composed of resources located in three locations in three different time zones with very little overlapping hours of work. This is expected to save costs, but the sponsor insists to use remote collaboration tools to overcome the difficulties. What reasons should you give as a project manager to highlight the benefits of collocating an agile team?",multiple-choice,Agile environments are subject to high degree of variability in terms of change. Hence the collaboration and communication needs are more frequent and quicker. This can happen better in collocated teams who have better access to other team members.,,The risks of agile teams not collaborating optimally when they are spread across the globe are higher due to cultural differences and language barriers,,There is higher level handoffs between work items with teams who are not collocated resulting in delays in work,,The control and oversight of work by the project manager is going to be difficult if the teams are spread across the globe,,,,,,1,"Agile projects thrive on rapid communication, frequent collaboration, and quick feedback loops to handle high variability and change. Collocation significantly enhances these aspects, whereas disparate time zones limit the overlapping hours needed for this vital synchronous communication.",
"On an agile project to build a product in a highly regulated industry, the project team learns that a new regulation was just made in effect. The first iteration of the product development has just finished but with the new regulation in effect, the team will have to redo some requirements impacted by the new regulation. What should the project manager do?",multiple-choice,Ask the team to update the product backlog and start working on the updated requirements in the next iteration,,Identify this as a new risk and analyze the impact of the new regulation before the next iteration starts,,Inform the sponsor that the project is going to miss its deadlines due to the changed scope from the new regulation,,Conduct a root-cause analysis as to why the team missed identifying this as a risk at the beginning of the project,,,,,,1,"In an agile approach, changing requirements (even due to new regulations) are handled by updating the product backlog. The product owner will prioritize these updated requirements, and the team will work on them in future iterations.",
"An agile project team is completing their first iteration with the product demonstration due at the end of the iteration. However, due to tight timelines to complete the project, the project manager is told by the project sponsor to skip the demo and start the next iteration as soon as the product testing on iteration backlog items from first iteration is complete. What should the project manager do next?",multiple-choice,Agree with the sponsor and start the next iteration planning sessions soon right after testing on first iteration backlog items are done,,Ask the project team to complete the work sooner from the first iteration so that the second iteration work can begin,,Inform the stakeholder that a product demonstration/ review session is an important practice after every iteration in order to obtain stakeholder feedback about the product increment,,Inform the sponsor that the product demo is only useful at the end when all iterations are complete and the product is fully ready to be demonstrated to the end users,,,,,,3,"In agile methodologies, the iteration review (product demonstration) is a critical ceremony. It allows the team to showcase the working product increment to stakeholders and gather their feedback. Skipping this ceremony removes the opportunity for inspection and adaptation, which is fundamental to agile.",
A vendor working with an agile project team is refusing to start work on the next iteration claiming that the requirements of the project have changed from what was originally discussed at the initiation of the project. What document should the project manager review with the vendor to clarify this situation?,multiple-choice,Project Management Plan,,Statement of Work (SOW),,Master Services Agreement (MSA),,Product Backlog,,,,,,3,"In agile projects involving vendors, the Master Services Agreement (MSA) governs the overall relationship and typically outlines how changes in requirements (which are expected in agile) are handled. Reviewing the MSA helps clarify the rules of engagement.",
"During a project's initiating phase, the project manager reviews the lessons learned repository. The project manager learns that a previous project failed due to constant scope creep. This project cannot afford additional time or budget. What should the project manager do to avoid project failure?",multiple-choice,Include strict and formal process approval changes.,,Reject all out-of-scope change requests.,,Manage key stakeholders' expectations.,,Escalate this information to the sponsor.,,,,,,1,"To prevent scope creep, especially when time and budget are inflexible, the most effective proactive measure is to establish and enforce a strict, formal change control process. This ensures any proposed changes are thoroughly evaluated before approval.",
A new project manager joins an ongoing project following the resignation of the former project manager. What should the new project manager do to start guiding the team toward project success?,multiple-choice,Consult the project diary for notes made by the former project manager.,,Revisit the project budget to determine if extra time is required.,,Review the project charter to identify goals and deliverables.,,Adjust the project schedule to add a new activity related to the knowledge transfer process.,,,,,,3,"When taking over a project, the first step is to understand its high-level objectives, goals, and deliverables. The project charter is the foundational document that provides this essential information.",
A project manager is leading a 12-month project to deliver a new product to market. The project sponsor wants to narrow the scope and deliver a scaled-down version of the final product. What will the project manager require prior to changing the scope?,multiple-choice,Updated project management plan,,Approved change request,,Revised budget,,Formal confirmation,,,,,,2,"The Perform Integrated Change Control process is conducted from project start through completion and is the ultimate responsibility of the project manager. Change requests can impact the project scope and the product scope, as well as any project management plan component or any project document.",
"To effectively lead a project team, a project manager must help team members grow and keep them motivated throughout the project. What should a project manager do to accomplish this?",multiple-choice,Conduct daily feedback sessions to understand the team's concerns.,,Reward the team for each task that is successfully completed.,,Delegate project tasks that challenge the team,,Be assertive and stand up for the team's beliefs.,,,,,,4,The primary goal of a project manager in relation to the project team is to ensure that the team has the time and resources to do their job and to remove any barriers they may encounter. By standing up for the team's beliefs the project manager is demonstrating their support for the team.,
"During a status meeting, one of the client's employees asks the project manager for a new product feature. The project manager is unsure who has the authority to approve this request. To what document should the project manager first refer?",multiple-choice,Change log,,Change management plan,,Organizational process assets,,"Responsible, accountable, consult, and inform (RACI) matrix",,,,,,2,"The change management plan describes the process for submitting, evaluating and implementing changes to the project.",
"Without considering all the implications, a project sponsor requires that the project team be composed of resources located in three locations in three different time zones. This is expected to save costs and provide the optimal project team. Where should this be reflected in the project charter?",multiple-choice,Key stakeholder list,,Resource management plan,,High-level requirements,,Overall project risks,,,,,,4,Having a dispersed project team does not come without risks. These risks need to be identified in the risk log for the project.,
A project is delayed and a change is needed to obtain the desired quality level of the deliverables. The project manager issues a formal change request and communicates the change to all stakeholders. The project manager then learns that this communications approach failed to meet stakeholders' expectations. What should the project manager do?,multiple-choice,Review the communications management and stakeholder engagement plans.,,Issue a change request to include stakeholders' expectations in the project management plan.,,Meet with the project sponsor to better understand stakeholders' expectations.,,"Follow the communications management plan, and issue a status report",,,,,,1,"The Monitoring of the communications process may result in improved effectiveness of communication through additional and possibly amended communications plans and activities. Such iterations illustrate the continuous nature of the Project Communications Management processes. Issues or key performance indicators, risks or conflicts may triggr an immediate revision.",
"The project manager of a life cycle replacement project has identified stakeholders. One stakeholder is someone with whom it is difficult to work, and their behavior is causing project delays. What should the project manager do?",multiple-choice,Review the stakeholder engagement plan to assess how difficult stakeholders should be engaged.,,Develop and implement a change management plan to add or remove stakeholders from the project.,,Ask the sponsor to select a stakeholder who is less difficult so that project delays can be avoided.,,Vary the format and increase the frequency of communications to the difficult stakeholder so that timely decisions may be made.,,,,,,1,The stakeholder engagement plan is used to understand stakeholder communication requirements and the level of stakeholder engagement in order to assess and adapt to the level of stakeholder participation in requirements activities.,
A company that builds residential properties wants to prevent any costly mistakes associated with frequently performed tasks. What should the project manager create to achieve this?,multiple-choice,Key performance indicators (KPIs),,Quality checklists,,Change management plan,,Risk register,,,,,,2,"A quality checklist is a structured tool, usually component-specific, used to verify that a set of required steps has been performed or to check if a list of requirements has been satisfied.",
"A local government provides subsidies for energy-efficient activities. An organization plans a project to install solar panels to reduce energy costs. After the solar panel project has started, the government announces that solar panels may not continue to qualify for subsidies. What should the project manager do?",multiple-choice,Raise the risk level.,,Use the contingency reserve.,,Create a change request.,,Update the issue log.,,,,,,1,The risk level on this issue must be raised as an expected monetary result might not be achieved.,
A project manager must manage potential conflicting stakeholder interests. The stakeholder engagement assessment matrix identifies an influential stakeholder who is resistant to the project. What should the project manager do to align this stakeholder's expectations?,multiple-choice,Meet with all stakeholders to gain consensus on project objectives.,,Communicate the stakeholder engagement plan.,,Update the stakeholder register.,,Create the stakeholder engagement plan.,,,,,,4,"Plan Stakeholder Engagement is the process of developing approaches to involve project stakeholders based on their needs, expectations, interests, and potential impact on the project. The key output is the Stakeholder Engagement Plan. The key benefit is that it provides an actionable plan to interact effectively with stakeholders.",
"A project manager needs to outsource 1,200 resource hours. Due to internal policies, each provider must understand the requirements. What should the project manager do to ensure this?",multiple-choice,Add the providers to the stakeholder register.,,Hold a bidder conference with the providers.,,Send the procurement management plan to each provider.,,Conduct direct negotiations with each provider.,,,,,,2,A bidder conference is a meeting between the buyer and prospective sellers prior to proposal submittal. They are used to ensure that all prospective bidders have a clear and common understanding of the procurement and no bidders receive preferential treatment.,
A conflict between a member of the contractor's team and a member of the project team cannot be resolved. The matter is escalated to the project manager. What should the project manager do first?,multiple-choice,Write a formal contractual letter to the contractor.,,Phone the contractor.,,Email the contractor.,,Discuss the issue face-to-face with the contractor.,,,,,,4,The project manager wants to resolve this issue quickly. A face to face meeting is the best choice to resolve this conflict. Any other communication choice would involve noise that would hinder resolution.,
"Midway through a project, a key project team member requests two months leave for personal matters. What should the project manager do first?",multiple-choice,Negotiate with the functional manager for a replacement.,,Review the resource management plan.,,Evaluate the impact on the project.,,Ask this key team member if the leave can be postponed.,,,,,,3,The FIRST thing the project manager needs to do is to understand what impact (if any) this absence will have on the project.,
"During a project's execution phase, a regulatory law is approved that mandates immediate compliance. This law will impact the project's scope, schedule, and cost. What should the project manager do first?",multiple-choice,Mitigate the risk.,,Initiate the change request process.,,Update the project management plan.,,Escalate the issue to senior management.,,,,,,2,"Since compliance is mandatory, a change request needs to be submitted.",
"Midway through a project, the project manager identifies new stakeholders whose influence levels are low. What should the project manager do?",multiple-choice,Concentrate on stakeholders who are high power/high influence.,,Introduce the stakeholders to the project team.,,Update the stakeholder register.,,Refer to the communications management plan to determine how to communicate with the new stakeholders.,,,,,,3,"Identify Stakeholders is the process of identifying project stakeholders regularly and analyzing and documenting relevant information regarding their interests, involvement, inter-dependencies, influence, and potential impact on project success. The key benefit of this process is that it enables the project team to identify the appropriate focus for engagement of each stakeholder or group of stakeholders. This process is performed periodically throughout the project as needed that results in updating the Stakeholder Register often.",
"During project execution, a stakeholder requests a change to ensure that the final product will satisfy their requirements. What should the project manager do next?",multiple-choice,"Submit a change request, as per the project's change control process.",,Approve the request only if it will have not impact on budget or schedule.,,Ask the team to determine the impact of the request on budget and schedule.,,Reject the request and record it in the product backlog.,,,,,,1,"Verifying that the changes are registered, assessed, approved, and tracked and communicating final results to stakeholders is the responsibility of the project manager.",
A project manager is new to a company and has not led a project with international team members. What should the project manager do to develop cultural sensitivity?,multiple-choice,Meet with the human resource department to obtain formal training in this area.,,"Decline the project, citing the difficulty of working with culturally diverse people as the reason.",,"Recognize that culture is learned, seek to understand local customs, and maintain flexibility when working with team members.",,Learn every detail of each team member's culture to be sensitive to their needs.,,,,,,3,The project manager needs to be proactive and learn what he can while also maintaining flexibility.,
"During project execution, a stakeholder requests a change to ensure that the final product will satisfy their requirements. What should the project manager do next?",multiple-choice,"Submit a change request, as per the project's change control process.",,Approve the request only if it will have not impact on budget or schedule.,,Ask the team to determine the impact of the request on budget and schedule.,,Reject the request and record it in the product backlog.,,,,,,1,"Any stakeholder request for a change during execution must be processed through the formal change control process. The first step is to submit a formal change request, which will then be evaluated for impact.",
A project manager is new to a company and has not led a project with international team members. What should the project manager do to develop cultural sensitivity?,multiple-choice,Meet with the human resource department to obtain formal training in this area.,,"Decline the project, citing the difficulty of working with culturally diverse people as the reason.",,"Recognize that culture is learned, seek to understand local customs, and maintain flexibility when working with team members.",,Learn every detail of each team member's culture to be sensitive to their needs.,,,,,,3,"Developing cultural sensitivity involves maintaining an open mind, understanding that culture is learned, respecting local customs, and being flexible. This is a practical and effective approach compared to learning every single detail or relying solely on HR.",
A new project will update the software version on the company's database. The core development team will attend technical training on the update to learn about its new functionalities. What should the project manager do to increase the quality of the team's technical training experience?,multiple-choice,Ask the team to collaborate with the quality assurance group to develop a testing scope document.,,Direct the team to create a proof of concept on the new functionalities.,,Set an expectation for the team to demo the new functionalities to project stakeholders.,,Ask the team to prepare a report documenting the changes that will affect the existing functionalities.,,,,,,2,Creating a proof of concept allows the team to practically apply what they are learning during the training. Hands-on application significantly reinforces learning and increases the quality of the training experience.,
A project manager reviewing the issue log notices that activities assigned to certain team members are significantly behind schedule. What should the project manager do?,multiple-choice,Request that the responsible team members provide an explanation for the delay and strategies to resolve the issue.,,Escalate the issue to the project sponsor for resolution.,,Review the activities with relevant team members to identify strategies for resolution.,,Ask the responsible team members to bring their activities back on schedule.,,,,,,3,A servant leader or effective project manager collaborates with the team to solve problems. Reviewing the activities together to identify resolution strategies is constructive and supportive.,
